,Name,MRP,Discounted Price,Manufacturer
64,Bandy Plus 12mg Tablet 1'S,35.99,29.51,Mkt: Mankind Pharma Pvt Ltd
65,Betatrop Tablet 10'S,119.00,97.58,Mkt: Sun Pharmaceutical Industries Ltd
66,Betabest AM 50mg Tablet 10'S,103.50,84.87,Mkt: Medley Pharmaceuticals Ltd
67,Becelac Fortz Capsule 15'S,96.25,78.93,Mkt: Dr. Reddy's Laboratories Ltd
68,Boro Plus Healthy Skin Antiseptic Cream 80 ml,150.00,132.00,Mkt: Emami Ltd
69,Becostar G Capsule 10'S,193.60,158.75,Mkt: Linux Laboratories Pvt Ltd
70,Bigomet 850mg Tablet 10'S,25.00,20.50,Mkt: Aristo Pharmaceuticals Pvt Ltd
71,Budamate 400 Transhaler 1's,493.30,404.51,Mkt: Lupin Ltd
72,B Long F Tablet 30'S,218.35,179.05,Mkt: Torrent Pharmaceuticals Ltd
73,Bidin LS Eye Drops 5ml,243.00,199.26,Mkt: Ajanta Pharma Ltd
74,Betafree Eye Drops 5ml,490.00,401.80,Mkt: Micro Labs Ltd
75,Brivex Eye Drops 5ml,509.00,417.38,Mkt: Ajanta Pharma Ltd
76,Brintop 5% Topical Solution 100ml,899.27,737.40,Mkt: Brinton Pharmaceuticals Ltd
77,Brufen 400mg Tablet 15'S,17.97,14.74,Mkt: Abbott India Ltd
78,Budamate Forte Transcap 30'S,427.50,350.55,Mkt: Lupin Ltd
79,Bengel AC 2.5% Gel 30gm,121.63,99.74,Mkt: Hegde & Hegde Pharmaceutica Llp
80,BD Alcohol Swab 100's,300.00,270.00,Mkt: Becton Dickinson (I) Pvt Ltd
81,Betadine Ointment 125gm,347.00,284.54,Mkt: Win Medicare Pvt Ltd
82,BILASURE 20mg Tablet 10's,139.00,113.98,Mkt: Sun Pharmaceutical Industries Ltd
83,Budecort 200 Rotacap 30'S,107.85,88.44,Mkt: Cipla Ltd
84,BRO Zedex SF Sugar Free Expectorant 100ml,150.50,123.41,Mkt: Dr. Reddy's Laboratories Ltd
85,Bristaa Advanced Skin Brightening Cream 20gm,692.00,567.44,Mkt: Sun Pharmaceutical Industries Ltd
86,Betnesol Tablet 20'S,14.10,11.56,Mkt: Glaxosmithkline Pharmaceuticals Ltd
87,Bladmir 25mg Tablet 10'S,250.65,205.53,Mkt: Alembic Pharmaceuticals Ltd
88,Betavert OD 24mg Tablet 10'S,230.00,188.60,Mkt: Sun Pharmaceutical Industries Ltd
89,Bonnisan Liquid 100ml,65.00,53.30,Mkt: Himalaya Drug Company
90,Berocin CZ Capsule 10'S,165.00,135.30,Mkt: Micro Labs Ltd
91,Banocide Forte Tablet 30'S,52.61,43.14,Mkt: Glaxosmithkline Pharmaceuticals Ltd
92,Betaloc 100mg Tablet 10'S,124.00,101.68,Mkt: Astrazeneca Pharma India Ltd
93,Betaone XL 25mg Tablet 15'S,64.30,52.73,Mkt: Dr. Reddy's Laboratories Ltd
94,Betaone XL 50mg Tablet 15'S,98.10,80.44,Mkt: Dr. Reddy's Laboratories Ltd
95,Betacap Plus 5mg Capsule 10'S,120.00,98.40,Mkt: Sun Pharmaceutical Industries Ltd
96,Bontress Pro Hair Serum 60ml,1390.00,1251.00,Mkt: Glenmark Pharmaceuticals Ltd
97,Betadine Powder 10gm,144.00,118.08,Mkt: Win Medicare Pvt Ltd
98,Benfomet Capsule 10'S,154.00,126.28,Mkt: Sun Pharmaceutical Industries Ltd
99,Bonsalic Tablet 10'S,203.00,166.46,Mkt: Esmatrix Life Sciences Pvt Ltd
100,Betacap 10mg Tablet 10'S,14.67,12.03,Mkt: Sun Pharmaceutical Industries Ltd
101,Brinolar Eye Drops 5ml,472.00,387.04,Mkt: Sun Pharmaceutical Industries Ltd
102,Bispec 5mg Tablet 15'S,644.00,528.08,Mkt: Dr. Reddy's Laboratories Ltd
103,Benadryl DR Dry Cough Active Relief Syrup 100ml,123.00,110.70,Mkt: Johnson & Johnson Pvt Ltd
104,Budecort 200 Inhaler 200Md,490.56,402.26,Mkt: Cipla Ltd
105,Bestozyme Syrup 200ml,119.40,97.91,Mkt: Biological E Ltd
106,Budenase AQ Nasal Spray 150Md,151.70,124.39,Mkt: Cipla Ltd
107,Brinzagan Ophthalmic Suspension 5ml,528.30,433.21,Mkt: Allergan India Pvt Ltd
108,Buxoric 40mg Tablet 10'S,142.90,117.18,Mkt: Macleods Pharmaceuticals Pvt Ltd
109,Brite Cream 20gm,135.00,110.70,Mkt: Wallace Pharmaceuticals Ltd
110,Budecort 400 Rotacap 30'S,198.88,163.08,Mkt: Cipla Ltd
111,Betavert 24mg Tablet 10'S,230.00,188.60,Mkt: Sun Pharmaceutical Industries Ltd
112,Blise Face Wash Gel 100gm,389.00,318.98,Mkt: Ajanta Pharma Ltd
113,BRO Zedex Expectorant 100ml,156.75,128.54,Mkt: Dr. Reddy's Laboratories Ltd
114,Budamate Neb 0.5mg Respule 7X2ml,408.80,347.48,Mkt: Lupin Ltd
115,Bandy 400mg Tablet,9.25,7.59,Mkt: Mankind Pharma Pvt Ltd
116,Bontress Hair Revitalising Shampoo 150ml,690.00,586.50,Mkt: Glenmark Pharmaceuticals Ltd
117,BAN A Tan Skin Lightening Cream 50gm,735.00,602.70,Mkt: Curatio Health Care (I) Pvt Ltd
118,Bacstol 100mg Tablet 10'S,96.30,78.97,Mkt: Ipca Laboratories Ltd
119,Betadine 10% Solution 500ml,537.60,440.83,Mkt: Win Medicare Pvt Ltd
120,Bimat Eye Drops 3ml,368.00,301.76,Mkt: Ajanta Pharma Ltd
121,Brinzox T Eye Drops 5ml,413.00,338.66,Mkt: Ajanta Pharma Ltd
122,Bidin T Eye Drops 5ml,211.00,173.02,Mkt: Ajanta Pharma Ltd
123,Bonnisan Oral Drop 30ml,75.00,61.50,Mkt: Himalaya Drug Company
124,BRILINTA 90mg Tablet 180's,4980.00,4083.60,Mkt: Astrazeneca Pharma India Ltd
125,Kids Pro Powder - Chocolate 500 gm,625.00,568.75,Mkt: British Biologicals
126,Bisosafe 2.5mg Tablet 10'S,60.49,49.60,Mkt: Abbott Healthcare Pvt Ltd
127,Bayer'S Tonic 250ml,186.50,162.26,Mkt: Piramal Pharma Limited
128,Blonitas 8mg Tablet 10'S,173.00,141.86,Mkt: Intas Pharmaceuticals Ltd
129,Baclof Liquid Strawberry Flavour 100ml,222.50,182.45,Mkt: Intas Pharmaceuticals Ltd
130,Brufen 200mg Tablet 15'S,10.58,8.68,Mkt: Abbott India Ltd
131,Bacloren 20mg Tablet 10'S,170.00,139.40,Mkt: La Renon Healthcare Pvt Ltd
