,Name,MRP,Discounted Price,Manufacturer
278,Bactiv Capsule 10'S,160.00,131.20,Mkt: East India Pharmaceutical Works Ltd
279,BELTAS 20mg Tablet 10's,139.00,113.98,Mkt: Glenmark Pharmaceuticals Ltd
280,Benadryl DR Dry Cough Active Relief Syrup 50ml,75.00,67.50,Mkt: Johnson & Johnson Pvt Ltd
281,Bisoheart AM 2.5mg Tablet 10'S,70.40,57.73,Mkt: Mankind Pharma Pvt Ltd
282,Bifilac Sachet 15'S,240.00,196.80,Mkt: Tablets India Ltd
283,Biselect 10mg Tablet 10'S,87.50,71.75,Mkt: Intas Pharmaceuticals Ltd
284,Bvert 24mg Tablet 10'S,139.00,113.98,Mkt: Icon Life Sciences
285,Banjaras 15Minute Multani Face Pack Powder - Papaya 100 gm,60.00,57.00,Mkt: Banjara Herbals Pvt Ltd
286,Bandrone 50mg Tablet 10'S,546.00,447.72,Mkt: Natco Pharma Ltd
287,Budate 200 Transhaler 1's,439.02,360.00,Mkt: Lupin Ltd
288,Baidyanath Ashwagandharishta Tonic 450 ml,245.00,232.75,Mkt: Shree Baidyanath Ayurved Bhawan Pvt Ltd
289,Banjaras Hair Care Powder - Shikakai 100 gm,80.00,76.00,Mkt: Banjara Herbals Pvt Ltd
290,Bangshil Tablet 50'S,165.00,135.30,Mkt: Alarsin Pharmaceuticals
291,B Stil 16mg Tablet 10'S,202.76,166.26,Mkt: Abbott Healthcare Pvt Ltd
292,Blisto 1mg Tablet 10'S,36.96,30.31,Mkt: Biocon Ltd
293,Bexol DT Tablet 50'S,76.16,62.45,Mkt: Intas Pharmaceuticals Ltd
294,Bioderma Sebium Global 30 ml,1535.00,,Mkt: Naos Skin Care India Pvt Ltd
295,Beclate 200 Inhaler 200Md,547.04,448.57,Mkt: Cipla Ltd
296,Banjaras Skin Care Powder - Orange Peel 100 gm,80.00,76.00,Mkt: Banjara Herbals Pvt Ltd
297,Biciphage 500 SR Tablet 10'S,22.21,18.21,Mkt: Biochem Pharmaceutical Industries Ltd
298,Babygesic 250mg Oral Suspension 60ml,40.32,33.06,Mkt: MEYER ORGANICS PVT LTD
299,Banocide 50mg Tablet 20'S,11.76,9.64,Mkt: Glaxosmithkline Pharmaceuticals Ltd
300,Brimosun LS 0.10% Eye Drops 5ml,273.00,223.86,Mkt: Sun Pharmaceutical Industries Ltd
301,Bestopic N Cream 10gm,53.00,43.46,Mkt: Systopic Laboratories Pvt Ltd
302,Buxstat 40mg Tablet 10'S,95.00,77.90,Mkt: East West Pharma
303,Bakson's Aller Aid Tablet 75 gm,215.00,193.50,Mkt: Bakson Drugs & Pharmaceuticals Pvt.Ltd.
304,Baidyanath Amoebica Tablet 50's,257.00,244.15,Mkt: Shree Baidyanath Ayurved Bhawan Pvt Ltd
305,Biotique Green Apple Fresh Daily Purifying Shampoo & Conditioner 190 ml,169.00,160.55,Mkt: Bio Veda Action Research Company
306,B Stil 24mg Tablet 10'S,277.94,227.91,Mkt: Abbott Healthcare Pvt Ltd
307,Beta EC Plus Capsule 10'S,120.00,98.40,Mkt: Dr Johns Lab Healthcare Pvt Ltd
308,Bepozal Tablet 10's,129.00,105.78,Mkt: Glowderma Labs Pvt Ltd
309,Baidyanath Drakshasav Syrup 450 ml,207.00,196.65,Mkt: Shree Baidyanath Ayurved Bhawan Pvt Ltd
310,Bispec 10mg Tablet 15'S,850.25,697.21,Mkt: Dr. Reddy's Laboratories Ltd
311,Bioderma Atoderm Intensive Baume 75 ml,786.00,,Mkt: Naos Skin Care India Pvt Ltd
312,BOLOFEN XL 20mg Capsule 10's,162.53,133.27,Mkt: Crescent Formulations Pvt Ltd
313,BENIFLO 8mg Tablet 15's,247.00,202.54,Mkt: Ajanta Pharma Ltd
314,Bizlo Tablet 10'S,124.84,102.37,Mkt: Torrent Pharmaceuticals Ltd
315,Bonical C Tablet 10'S,65.84,53.99,Mkt: East West Pharma
316,Bactafuz Cream 5gm,55.04,45.13,Mkt: Mankind Pharma Pvt Ltd
317,Banjaras Tan Free Multani Mitti Face Pack - Orange 100 gm,60.00,57.00,Mkt: Banjara Herbals Pvt Ltd
318,Baidyanath Rasnadi Guggulu Tablet 80's,209.00,198.55,Mkt: Shree Baidyanath Ayurved Bhawan Pvt Ltd
319,Biohome Snoring Drops 40 ml,160.00,144.00,Mkt: Biohome Pharmacy
320,Baidyanath Isabbael-H (Granules) 200 gm,310.00,294.50,Mkt: Shree Baidyanath Ayurved Bhawan Pvt Ltd
321,Biciphage 500Mg Tablet 20's,34.85,28.58,Mkt: Biochem Pharmaceutical Industries Ltd
322,Betzee G Cream 15gm,22.40,18.37,Mkt: Apex Laboratories Pvt Ltd
323,Boroline's Suthol Antiseptic Skin Liquid Spray - Neem 100 ml,85.00,,Mkt: G D Pharmaceuticals Ltd.
324,Bisosafe 5mg Tablet 10'S,93.15,76.38,Mkt: Abbott Healthcare Pvt Ltd
325,Beclate 400 Rotacap 30'S,131.76,108.04,Mkt: Cipla Ltd
326,BLYNDS SPF 40+ PA+++ Emulgel 50gm,485.00,397.70,Mkt: Intas Pharmaceuticals Ltd
327,Bakson's Aloevera Calendula Cream 250 gm,290.00,275.50,Mkt: Bakson Drugs & Pharmaceuticals Pvt.Ltd.
328,Biotor 20mg Tablet 10'S,137.50,112.75,Mkt: Lividus Pharmaceuticals Pvt Ltd
329,Baidyanath Madhumehari Granules 100 gm,200.00,190.00,Mkt: Shree Baidyanath Ayurved Bhawan Pvt Ltd
330,Bioderma Sensibio H2O Micellar Solution 250 ml,599.00,,Mkt: Naos Skin Care India Pvt Ltd
331,Bakson's Thuja Ointment 25 gm,75.00,67.50,Mkt: Bakson Drugs & Pharmaceuticals Pvt.Ltd.
332,Boost 3X Stamina Powder 200 gm (Pet Jar),139.00,,Mkt: Hindustan Unilever Limited
333,Bakson's Nasal Aid Spray 10 ml,105.00,94.50,Mkt: Bakson Drugs & Pharmaceuticals Pvt.Ltd.
334,Budamate 100 Transhaler 1's,312.90,256.58,Mkt: Lupin Ltd
335,Blisto 4mg Tablet 10'S,145.89,119.63,Mkt: Biocon Ltd
336,Bioderma Sebium Pore Refiner 30 ml,1795.00,,Mkt: Naos Skin Care India Pvt Ltd
337,Baidyanath Kasamrit (Herbal) Syrup 100 ml,105.00,99.75,Mkt: Shree Baidyanath Ayurved Bhawan Pvt Ltd
338,Baralgan NU Tablet 10'S,42.77,35.07,Mkt: Sanofi India Limited
339,Biodipin 2.5mg Tablet 10'S,17.81,14.60,Mkt: Cadila Healthcare Ltd (Zydus)
340,Biotrue Multi Purpose Solution 60 ml,175.00,159.25,Mkt: Bausch & Lomb India Private Limited
341,Baidyanath Chandanasav Tonic 450 ml,148.00,140.60,Mkt: Shree Baidyanath Ayurved Bhawan Pvt Ltd
342,Baidyanath Isabbael-H (Granules) 100 gm,170.00,161.50,Mkt: Shree Baidyanath Ayurved Bhawan Pvt Ltd
343,Baidyanath Ayucid Tablet 50's,105.00,99.75,Mkt: Shree Baidyanath Ayurved Bhawan Pvt Ltd
344,Bifilac Lozenges 10'S,203.00,166.46,Mkt: Tablets India Ltd
345,Bendex Cherry with Peppermint Flavour Suspension 10ml,20.04,14.03,Mkt: Cipla Ltd
346,Baidyanath Amlapittantak Yog Tablet 100's,197.00,187.15,Mkt: Shree Baidyanath Ayurved Bhawan Pvt Ltd
347,Baidyanath Junior Prash Paste 1 kg,350.00,332.50,Mkt: Shree Baidyanath Ayurved Bhawan Pvt Ltd
348,Bioderma Atoderm Intensive Gel Moussant 200 ml,599.00,,Mkt: Naos Skin Care India Pvt Ltd
349,BIO D3 Plus Suspension 120ml,197.20,161.70,Mkt: Macleods Pharmaceuticals Pvt Ltd
350,Brozeet LS Expectorent 100ml,125.40,102.83,Mkt: Alembic Pharmaceuticals Ltd
351,BRUT ORIGINAL DEO 200ML,325.00,,Mkt: Hindustan Unilever Limited
352,Banjaras Natural Henna Powder 200 gm,110.00,100.76,Mkt: Banjara Herbals Pvt Ltd
353,Budate 100 Transhaler 1's,314.29,257.72,Mkt: Lupin Ltd
354,Bifilac Dry Syrup 50ml,130.50,107.01,Mkt: Tablets India Ltd
355,Budetrol Forte Capsule 30'S,370.00,303.40,Mkt: Macleods Pharmaceuticals Pvt Ltd
356,Bella Cotton Cosmetic Balls 100's,149.00,134.10,Mkt: Bellapremier Happy Hygienecare Pvt Ltd
357,BILAZO Tablet 10's,126.50,103.73,Mkt: Indiabulls Pharmaceuticals Ltd
358,Bodyguard Herbal Mosquito Repellent Spray 100 ml,150.00,141.00,Mkt: Sirona Hygiene Private Limited
359,Bacfen 25Mg Tablet 10's,275.00,225.50,Mkt: Icon Life Sciences
360,Bro Zedex LS Kid Raspberry Flavour Expectorant 60ml,118.25,96.97,Mkt: Dr. Reddy's Laboratories Ltd
361,Basalog One 100IU Pen Injection 3ml,823.10,674.94,Mkt: Biocon Ltd
362,Banjaras Black Henna Aloevera + Henna Powder 50 gm,70.00,66.50,Mkt: Banjara Herbals Pvt Ltd
363,Bioderma Sensibio H2O Cleanser 100 ml,395.00,,Mkt: Naos Skin Care India Pvt Ltd
364,Benidin M 4/25mg Tablet 10'S,131.80,108.08,Mkt: Lloyd Healthcare Pvt Ltd
365,Bvert OD 24mg Tablet 10'S,183.00,150.06,Mkt: Icon Life Sciences
366,BTR Tablet 10'S,184.35,151.17,Mkt: Overseas Healthcare Pvt Ltd
367,Bacfen XL 20mg Capsule 10'S,265.00,217.30,Mkt: Icon Life Sciences
368,Benegut Suspension 12X5ml,530.88,435.32,Mkt: Abbott India Ltd
369,Bakson's Aller Aid Tablet 200 gm,500.00,450.00,Mkt: Bakson Drugs & Pharmaceuticals Pvt.Ltd.
370,Becetab Tablet 10'S,52.70,43.21,Mkt: East West Pharma
371,Bioderma Sensibio H2O Cleanser 500 ml,1150.00,,Mkt: Naos Skin Care India Pvt Ltd
372,B9 Plus Capsule 10'S,116.70,95.69,Mkt: Juggat Pharma
373,Bactoclav 625mg Tablet 10'S,204.84,167.97,Mkt: Micro Labs Ltd
374,Baidyanath Surakta Syrup 400 ml,220.00,209.00,Mkt: Shree Baidyanath Ayurved Bhawan Pvt Ltd
375,BIFLACE NEW Eye Drops 5ml,150.00,123.00,Mkt: Alembic Pharmaceuticals Ltd
376,Biopress AM 5/50mg Tablet 10'S,39.00,31.98,Mkt: Leeford Healthcare Ltd (Generics)
377,Kids Pro Powder - Vanilla 200 gm,295.00,268.45,Mkt: British Biologicals
378,Buscogast Injection 1ml,12.90,10.58,Mkt: Sanofi India Limited
379,Bioderma Photoderm AKN Mat SPF 30 Matifying Fluid 40 ml,1581.00,,Mkt: Naos Skin Care India Pvt Ltd
380,Betnesol Oral Drops 15ml,25.60,20.99,Mkt: Glaxosmithkline Pharmaceuticals Ltd
381,Beta EC Capsule 15'S,123.75,101.48,Mkt: Dr Johns Lab Healthcare Pvt Ltd
382,Baidyanath Madhumehari Yog with Gold Tablet 30's,775.00,736.25,Mkt: Shree Baidyanath Ayurved Bhawan Pvt Ltd
383,Baidyanath Junior Prash Paste 500 gm,195.00,185.25,Mkt: Shree Baidyanath Ayurved Bhawan Pvt Ltd
384,Bhandari Bach Flower Rescue Remedy 30 Liquid 30 ml,130.00,117.00,Mkt: Bhandari Homeopathic Laboratories
385,Biovas 80mg Tablet 10'S,405.32,332.36,Mkt: Biochem Pharmaceutical Industries Ltd
386,BIFILAC GG Sugar free & Gluten free Capsule 10's,400.00,328.00,Mkt: Tablets India Ltd
387,Bakson's Rheum Aid Tablet 200 gm,460.00,414.00,Mkt: Bakson Drugs & Pharmaceuticals Pvt.Ltd.
388,Baycip 500mg Tablet 10'S,40.75,33.42,Mkt: Bayer Zydus Pharma Pvt Ltd
389,Bioforce Blooume 20 Immunity Drops 30 ml,165.00,140.25,Mkt: Holistic Remedies Pvt. Ltd
390,Becozinc H Delicious Mixed Fruit Flavor Syrup 200ml,124.50,102.09,Mkt: Dr. Reddy's Laboratories Ltd
391,Bicef DT 500mg Tablet 10'S,44.68,36.64,Mkt: Micro Labs Ltd
392,Biotique Himalayan Plum Refreshing Bathing Bar 150 gm,105.00,,Mkt: Bio Veda Action Research Company
393,Betahist Forte Tablet 10'S,116.00,95.12,Mkt: Geno Pharmaceuticals Ltd
394,Bepofree Eye Drops 5ml,198.00,162.36,Mkt: Mankind Pharma Pvt Ltd
395,Baidyanath Brahmi Amla Hair Oil 200 ml,90.00,85.50,Mkt: Shree Baidyanath Ayurved Bhawan Pvt Ltd
396,Betadine Vaginal Pessarie 10'S,216.00,177.12,Mkt: Win Medicare Pvt Ltd
397,Biotique Bio Walnut Purifying & Polishing Scrub for Normal to Dry Skin 50 gm,199.00,198.60,Mkt: Bio Veda Action Research Company
398,Bioderma Sensibio Forte Rapid Soothing Care Cream for Sensitive Skin 40 ml,1392.00,,Mkt: Naos Skin Care India Pvt Ltd
399,Bakson's Pilgo Tablet 75's,215.00,193.50,Mkt: Bakson Drugs & Pharmaceuticals Pvt.Ltd.
400,Bioderma Atoderm Creme 200 ml,660.00,,Mkt: Naos Skin Care India Pvt Ltd
401,Biotique Sun Shield Sandalwood SPF 50+ UVB/UVA PA+++ Sunscreen Ultra Protective Lotion for All Skin Types 120ml,410.00,,Mkt: Bio Veda Action Research Company
402,Biotique Papaya Tan Removal Brightening & Revitalizing Face Scrub - All Skin Types 100gm,140.00,,Mkt: Bioveda Farmacy Pvt. Ltd
403,Bioderma Atoderm Intensive Pain Cleansing Ultra-Rich Soap 150 gm,599.00,,Mkt: Naos Skin Care India Pvt Ltd
404,Baby Mask (Cipla) Device 1's,330.15,270.72,Mkt: Cipla Ltd
405,Besix Eye Drops 5ml,237.00,194.34,Mkt: Ajanta Pharma Ltd
406,Becelac PB Capsule 10'S,163.75,134.28,Mkt: Dr. Reddy's Laboratories Ltd
407,Baidyanath Lodhrasav Syrup 450 ml,195.00,185.25,Mkt: Shree Baidyanath Ayurved Bhawan Pvt Ltd
408,Bella Cotton Pads Round with Aloe extract 100's,179.00,161.10,Mkt: Bellapremier Happy Hygienecare Pvt Ltd
409,Betgenta Z Cream 20gm,99.50,81.59,Mkt: East West Pharma
410,Baksons Acne Aid Cream 30 gm,95.00,85.50,Mkt: Bakson Drugs & Pharmaceuticals Pvt.Ltd.
411,Biopyrin 650mg Tablet 15'S,29.90,24.52,Mkt: Cadila Healthcare Ltd (Zydus)
412,Biotique Bio Clove Purifying Anti Blemish Face Pack - Oily & Acne Prone Skin 75 gm,199.00,189.05,Mkt: Bio Veda Action Research Company
413,BPCRUSH 10mg Tablet 10's,60.00,49.20,Mkt: Syswin Pharmaceuticals Pvt Ltd
414,Bestor 20mg Tablet 10'S,289.26,237.19,Mkt: Biocon Ltd
415,BodyGuard Premium Baby Wet Wipes with Aloe Vera Extract 72's,125.00,103.75,Mkt: Sirona Hygiene Private Limited
416,Bakson's Wart Aid Tablet 75 gm,215.00,193.50,Mkt: Bakson Drugs & Pharmaceuticals Pvt.Ltd.
417,Baidyanath Aquagest Syrup 100 ml,80.00,76.00,Mkt: Shree Baidyanath Ayurved Bhawan Pvt Ltd
418,Brozeet LS Drops 15ml,70.75,58.02,Mkt: Alembic Pharmaceuticals Ltd
419,Bend 400mg Tablet 2'S,17.28,14.17,Mkt: Skn Organics Pvt Ltd
420,Bioderma Cicabio Cream 40 ml,1399.00,,Mkt: Naos Skin Care India Pvt Ltd
421,Biozocin XL 5mg Tablet 15'S,265.70,217.87,Mkt: Biochem Pharmaceutical Industries Ltd
422,Baidyanath Janmghunti Tonic 110 ml,74.00,70.30,Mkt: Shree Baidyanath Ayurved Bhawan Pvt Ltd
423,Bioderma Photoderm Max Aquafluide SPF 50+ - Neutral Shade 40 ml,1550.00,,Mkt: Naos Skin Care India Pvt Ltd
424,Bajaj Brahmi Amla Ayurvedic Hair Oil 300 ml,165.00,,Mkt: Bajaj Consumer Care Ltd
425,BRILANTE INTENSE BRIGHTENING Cleanser 50ml,689.00,564.98,Mkt: Regaliz Medicare Ltd
426,BILAZAP 20mg Tablet 10's,139.00,113.98,Mkt: Glenmark Pharmaceuticals Ltd
427,Bakson's Baksoint 9 Cream 25 gm,75.00,67.50,Mkt: Bakson Drugs & Pharmaceuticals Pvt.Ltd.
428,Betasalic Ointment 20gm,106.15,74.31,Mkt: Cipla Ltd
429,BRO Zedex LS Oral Drops 15ml,70.50,57.81,Mkt: Dr. Reddy's Laboratories Ltd
430,Brut Musk Deo 200 ml,399.00,379.05,Mkt: Hindustan Unilever Limited
431,BUDETROL 0.5mg Respules 5X2ml,229.00,187.78,Mkt: Macleods Pharmaceuticals Pvt Ltd
432,Back 5mg Tablet 10'S,59.64,48.90,Mkt: East West Pharma
433,Betalol 5mg Tablet 10'S,124.30,101.93,Mkt: East West Pharma
434,Biotique Sun Shield Sandalwood SPF 50+ UVB/UVA PA+++ Sunscreen Ultra Protective Face Cream for All Skin Types 50gm,260.00,,Mkt: Bio Veda Action Research Company
435,Baidyanath Sarswatarista Tonic 450 ml,225.00,213.75,Mkt: Shree Baidyanath Ayurved Bhawan Pvt Ltd
436,Baidyanath Amritarishta Tonic 450 ml,158.00,150.10,Mkt: Shree Baidyanath Ayurved Bhawan Pvt Ltd
437,Bakson's Under Eye Cream 50 GM,185.00,175.75,Mkt: Bakson Drugs & Pharmaceuticals Pvt.Ltd.
438,Budetrol 100mcg+6Mcg Capsule 30'S,133.87,109.77,Mkt: Macleods Pharmaceuticals Pvt Ltd
439,Bactrim Suspension 50ml,19.04,15.61,Mkt: Abbott Healthcare Pvt Ltd
440,Bioclar 500Mg Tablet 10's,387.63,317.86,Mkt: Cadila Healthcare Ltd (Zydus)
441,Biotique Baby Bio Almond Oil Massage Oil - Disney Mickey 200 ml,150.00,135.00,Mkt: Bio Veda Action Research Company
442,Bactomin 750mg Tablet 6'S,538.95,441.94,Mkt: Zuventus Healthcare Ltd
443,Brut Deodorant Spray - Ocean 200 ml,325.00,308.75,Mkt: Hindustan Unilever Limited
444,Bakson's Gastro Aid Tablet 75 gm,215.00,193.50,Mkt: Bakson Drugs & Pharmaceuticals Pvt.Ltd.
445,Baidyanath Janmghunti Tonic 220 ml,145.00,137.75,Mkt: Shree Baidyanath Ayurved Bhawan Pvt Ltd
446,Banjaras Natural Henna Powder 100 gm,60.00,57.00,Mkt: Banjara Herbals Pvt Ltd
447,BTR D Tablet 10'S,175.00,143.50,Mkt: Overseas Healthcare Pvt Ltd
448,Brozeet SF Syrup 100ml,130.10,106.68,Mkt: Alembic Pharmaceuticals Ltd
449,Bvert 8mg Tablet 10'S,69.00,56.58,Mkt: Icon Life Sciences
450,Biotique Sun Shield Aloe Vera 75+ SPF UVA/UVB PA+++ Sunscreen Ultra Protective Lotion 190 ml,700.00,,Mkt: Bio Veda Action Research Company
451,Baidyanath Sut Shekhar Ras No.1 with Gold Tablet 25's,1720.00,1634.00,Mkt: Shree Baidyanath Ayurved Bhawan Pvt Ltd
452,BodyGuard Reusable Anti Pollution Face Mask with Activated Carbon - (Large),349.00,247.79,Mkt: Sirona Hygiene Private Limited
453,Benibuz 8mg Tablet 10'S,158.00,129.56,Mkt: Alniche Life Sciences Pvt Ltd
454,Bakson's Rheum Aid Oil 115 ml,215.00,193.50,Mkt: Bakson Drugs & Pharmaceuticals Pvt.Ltd.
455,Biotique Disney Baby Bio Berry Body Wash - Mickey 190 ml,180.00,144.00,Mkt: Bio Veda Action Research Company
456,Bactomin 375mg Tablet 10'S,475.50,389.91,Mkt: Zuventus Healthcare Ltd
457,BRO Zedex LS Expectorant 100ml,145.25,119.11,Mkt: Dr. Reddy's Laboratories Ltd
458,Bioforce Blooume 31 sinusitis Drops 30 ml,165.00,140.25,Mkt: Holistic Remedies Pvt. Ltd
459,Biohome Vigrosom Men's Tonic 30 ml,395.00,355.50,Mkt: Biohome Pharmacy
460,Bella Tampo (Regular) 16's,189.00,170.10,Mkt: Bellapremier Happy Hygienecare Pvt Ltd
461,Biosuganril 10mg Tablet 10'S,238.64,195.68,Mkt: Abbott Healthcare Pvt Ltd
462,BodyGuard Reusable Anti Pollution Face Mask with Activated Carbon for Kids - Small,349.00,247.79,Mkt: Sirona Hygiene Private Limited
463,Bioforce Blooume 30 cold Drops 30 ml,150.00,127.50,Mkt: Holistic Remedies Pvt. Ltd
464,B Stil 8mg Tablet 10'S,99.55,81.63,Mkt: Abbott Healthcare Pvt Ltd
465,Bakson's Acne Aid Tablet 75's,215.00,193.50,Mkt: Bakson Drugs & Pharmaceuticals Pvt.Ltd.
466,Baidyanath Basant Kusumakar Ras Tablet 50's,2700.00,2160.00,Mkt: Shree Baidyanath Ayurved Bhawan Pvt Ltd
467,Bakson's Hite Aid Tablet 75 gm,215.00,193.50,Mkt: Bakson Drugs & Pharmaceuticals Pvt.Ltd.
468,Bakson's Sulphur Ointment 25 gm,70.00,63.00,Mkt: Bakson Drugs & Pharmaceuticals Pvt.Ltd.
469,Bakson's Hair Aid Gel 75 gm,110.00,99.00,Mkt: Bakson Drugs & Pharmaceuticals Pvt.Ltd.
470,Bzon Tablet 10'S,7.63,6.26,Mkt: Unison Pharmaceuticals Pvt Ltd
471,Buxstat 80mg Tablet 10'S,153.50,125.87,Mkt: East West Pharma
472,Bakson'S Prostate Aid Drops 30 ml,170.00,153.00,Mkt: Bakson Drugs & Pharmaceuticals Pvt.Ltd.
473,Belol XL 50mg Tablet 10'S,67.60,55.43,Mkt: East West Pharma
474,Bioforce Blooume 18 Hemosan Drops 30 ml,165.00,140.25,Mkt: Holistic Remedies Pvt. Ltd
475,Bhargava Ague Nil Syrup 200 ml,160.00,144.00,Mkt: Bhandari Homeopathic Laboratories
476,Bhandari Bach Flower White Chestnut 30 Liquid 30 ml,130.00,117.00,Mkt: Bhandari Homeopathic Laboratories
477,Bakflex Plus Tablet 10'S,236.00,193.52,Mkt: Intas Pharmaceuticals Ltd
478,Banjaras Facial Kit - Papaya 60 gm,200.00,183.20,Mkt: Banjara Herbals Pvt Ltd
479,Bakson'S Go Tox Drops 30 ml,125.00,112.50,Mkt: Bakson Drugs & Pharmaceuticals Pvt.Ltd.
480,Bioforce Blooume 4 Biohair Drops 30 ml,165.00,,Mkt: Holistic Remedies Pvt. Ltd
481,Bakson's Gastro Aid Tablet 200 gm,500.00,450.00,Mkt: Bakson Drugs & Pharmaceuticals Pvt.Ltd.
482,Britvog 0.3mg Tablet 15'S,140.00,114.80,Mkt: Elbrit Life Sciences Pvt Ltd
483,Bvert OD 48mg Tablet 10'S,315.00,258.30,Mkt: Icon Life Sciences
484,Bakson's Pilgo Tablet 200's,500.00,450.00,Mkt: Bakson Drugs & Pharmaceuticals Pvt.Ltd.
485,Bakson's Hamamelis Ointment 25 gm,70.00,63.00,Mkt: Bakson Drugs & Pharmaceuticals Pvt.Ltd.
486,Bjain Omeo Calcium Tablet 25 gm,155.00,139.50,Mkt: Bjain Pharmaceuticals Pvt. Ltd
487,Bjain Omeo Allergy Tablet 25 gm,155.00,139.50,Mkt: Bjain Pharmaceuticals Pvt. Ltd
488,Bjain Omeo Arthritis Syrup 200 ml,175.00,157.50,Mkt: Bjain Pharmaceuticals Pvt. Ltd
489,BILASTERO 20mg Tablet 10's,143.00,117.26,Mkt: Hetero Healthcare Limited
490,Boro Plus Doodh Kesar Body Lotion 100 ml,85.00,,Mkt: Emami Ltd
491,Blumox CA 625mg Tablet 10'S,190.00,155.80,Mkt: Blue Cross Laboratories Ltd
492,Banjaras Tan Free Multani Mitti Face Pack - Orange 50 gm,70.00,66.50,Mkt: Banjara Herbals Pvt Ltd
493,Bortenat 3.5mg Injection 1's,4140.68,3395.36,Mkt: Natco Pharma Ltd
494,Biotique Advanced Ayurveda Orange Peel Renewing Bathing Bar 150 gm,105.00,,Mkt: Bio Veda Action Research Company
495,BD Tablet 10's,119.00,97.58,Mkt: Delvin Formulations Pvt Ltd
496,Bakson's Rheum Aid Tablet 75's,215.00,193.50,Mkt: Bakson Drugs & Pharmaceuticals Pvt.Ltd.
497,Baidyanath Surakta Syrup 200 ml,105.00,99.75,Mkt: Shree Baidyanath Ayurved Bhawan Pvt Ltd
498,Back 10mg Tablet 10'S,106.51,87.34,Mkt: East West Pharma
499,Bakson's Shikakai Shampoo 150 ml,160.00,152.00,Mkt: Bakson Drugs & Pharmaceuticals Pvt.Ltd.
500,Biotique Bio Berberry Hydrating Cleanser - All Skin Types 120 ml,210.00,199.50,Mkt: Bio Veda Action Research Company
501,Brut Attraction Totale Deodorant Spray 200 ml,399.00,379.05,Mkt: Hindustan Unilever Limited
502,Bioforce Blooume 33 Tonic for Men Drops 30 ml,350.00,297.50,Mkt: Holistic Remedies Pvt. Ltd
503,Bakson's Apricot Aloevera With Neem & Cucumber Scrub 100 gm,150.00,142.50,Mkt: Bakson Drugs & Pharmaceuticals Pvt.Ltd.
504,Bakson's Hair Colour Powder - Black 240 gm 12's,600.00,570.00,Mkt: Bakson Drugs & Pharmaceuticals Pvt.Ltd.
505,Bakson's Hypericum Ointment 25 gm,70.00,63.00,Mkt: Bakson Drugs & Pharmaceuticals Pvt.Ltd.
506,Bakson's Graphites Ointment 25 gm,75.00,67.50,Mkt: Bakson Drugs & Pharmaceuticals Pvt.Ltd.
507,Bakson's Arnica Montana Hair Oil 200 ml,200.00,180.00,Mkt: Bakson Drugs & Pharmaceuticals Pvt.Ltd.
508,Bella Tampo (Regular)8's,89.00,80.10,Mkt: Bellapremier Happy Hygienecare Pvt Ltd
509,BEPOSURGE Eye Drops 5ml,188.00,154.16,Mkt: Ipca Laboratories Ltd
510,BIO Homin LS Tablet 10'S,107.00,87.74,Mkt: Icon Life Sciences
511,Bakson's Beepee Aid Drops 30 ml,160.00,144.00,Mkt: Bakson Drugs & Pharmaceuticals Pvt.Ltd.
512,Bakson's Astha Aid Drops 30 ml,160.00,144.00,Mkt: Bakson Drugs & Pharmaceuticals Pvt.Ltd.
513,Bjain Omeo Diabetes Drops 30 ml,140.00,126.00,Mkt: Bjain Pharmaceuticals Pvt. Ltd
514,Bigspas P Tablet 10'S,87.80,72.00,Mkt: Mankind Pharma Pvt Ltd
515,Brut Sports Style Deodorant Spray 200 ml,325.00,308.75,Mkt: Hindustan Unilever Limited
516,Bioforce Blooume 13 Fitness Drops 30 ml,150.00,127.50,Mkt: Holistic Remedies Pvt. Ltd
517,Bhandari Bach Flower Mimulus 30 Liquid 30 ml,130.00,117.00,Mkt: Bhandari Homeopathic Laboratories
518,Bakson's Astha Aid Tablet 200 gm,460.00,414.00,Mkt: Bakson Drugs & Pharmaceuticals Pvt.Ltd.
519,Bakson's Rhus Tox Ointment 25 gm,70.00,63.00,Mkt: Bakson Drugs & Pharmaceuticals Pvt.Ltd.
520,Bjain Omeo Cough Syrup 100 ml,100.00,90.00,Mkt: Bjain Pharmaceuticals Pvt. Ltd
521,BD Neoflon Needle No 24,314.00,157.00,Mkt: Becton Dickinson (I) Pvt Ltd
522,Biotax 1gm Injection 1's,39.92,32.73,Mkt: Cadila Healthcare Ltd (Zydus)
523,Bioclar 250mg Tablet 10'S,230.92,189.35,Mkt: Cadila Healthcare Ltd (Zydus)
524,Bakson's Cantharis Ointment 25 gm,70.00,63.00,Mkt: Bakson Drugs & Pharmaceuticals Pvt.Ltd.
525,Bakson's Anti Aging Lotion 80 ml,260.00,247.00,Mkt: Bakson Drugs & Pharmaceuticals Pvt.Ltd.
526,BodyGuard Reusable Anti Pollution Face Mask with Activated Carbon - Large (Pack of 2),698.00,,Mkt: Sirona Hygiene Private Limited
527,Budetrol Forte Inhaler 1'S,572.00,469.04,Mkt: Macleods Pharmaceuticals Pvt Ltd
528,Biohome Salix Night Drops 30 ml,240.00,216.00,Mkt: Biohome Pharmacy
529,Biohome Cough Care Drops 30 ml,145.00,130.50,Mkt: Biohome Pharmacy
